Month,Total_CO2Emissions
1/1/73,124.285
2/1/73,112.8395
3/1/73,112.88775
4/1/73,103.953
5/1/73,107.66925
6/1/73,106.551
7/1/73,111.4665
8/1/73,116.11325
9/1/73,107.4715
10/1/73,112.27275
11/1/73,115.11275
12/1/73,119.263
1/1/74,117.60875
2/1/74,107.14625
3/1/74,109.41775
4/1/74,101.92575
5/1/74,104.804
6/1/74,102.58125
7/1/74,110.95775
8/1/74,111.0515
9/1/74,102.85725
10/1/74,110.15525
11/1/74,109.832
12/1/74,118.32825
1/1/75,121.82125
2/1/75,106.11025
3/1/75,109.50375
4/1/75,100.198
5/1/75,97.4935
6/1/75,99.05925
7/1/75,104.657
8/1/75,107.2925
9/1/75,99.36875
10/1/75,104.54475
11/1/75,102.7985
12/1/75,119.867
1/1/76,125.70275
2/1/76,109.499
3/1/76,112.0395
4/1/76,104.63675
5/1/76,103.768
6/1/76,106.37875
7/1/76,111.476
8/1/76,111.2595
9/1/76,105.06025
10/1/76,111.8365
11/1/76,119.7635
12/1/76,133.76275
1/1/77,136.65975
2/1/77,116.64
3/1/77,116.28025
4/1/77,106.577
5/1/77,109.29275
6/1/77,113.08175
7/1/77,119.24175
8/1/77,119.40525
9/1/77,113.04425
10/1/77,113.45325
11/1/77,115.34375
12/1/77,129.49425
1/1/78,133.032
2/1/78,120.024
3/1/78,118.398
4/1/78,108.08425
5/1/78,112.354
6/1/78,112.51525
7/1/78,117.68
8/1/78,121.785
9/1/78,112.9115
10/1/78,115.23525
11/1/78,118.30275
12/1/78,131.069
1/1/79,139.92625
2/1/79,127.17325
3/1/79,123.38425
4/1/79,110.822
5/1/79,114.463
6/1/79,114.36375
7/1/79,118.81775
8/1/79,122.2565
9/1/79,111.794
10/1/79,118.02175
11/1/79,118.71825
12/1/79,129.6855
1/1/80,132.9765
2/1/80,125.5715
3/1/80,123.3985
4/1/80,108.68275
5/1/80,107.0295
6/1/80,108.3415
7/1/80,118.56575
8/1/80,117.52075
9/1/80,111.5225
10/1/80,113.23425
11/1/80,114.5535
12/1/80,129.79575
1/1/81,134.54975
2/1/81,114.301
3/1/81,117.5435
4/1/81,105.99275
5/1/81,107.31
6/1/81,112.3785
7/1/81,119.652
8/1/81,116.132
9/1/81,108.804
10/1/81,112.098
11/1/81,109.769
12/1/81,124.54425
1/1/82,130.6555
2/1/82,113.09775
3/1/82,113.4365
4/1/82,105.23775
5/1/82,100.9555
6/1/82,101.492
7/1/82,110.15325
8/1/82,110.09325
9/1/82,101.36675
10/1/82,102.56
11/1/82,105.64375
12/1/82,112.35425
1/1/83,117.25475
2/1/83,102.9985
3/1/83,109.682
4/1/83,100.60975
5/1/83,100.22275
6/1/83,103.21625
7/1/83,113.9545
8/1/83,119.164
9/1/83,107.44575
10/1/83,104.80475
11/1/83,106.95925
12/1/83,123.713
1/1/84,132.4845
2/1/84,113.581
3/1/84,119.154
4/1/84,108.35875
5/1/84,108.8655
6/1/84,112.185
7/1/84,115.8845
8/1/84,120.589
9/1/84,106.412
10/1/84,110.01675
11/1/84,111.19975
12/1/84,117.455
1/1/85,130.404
2/1/85,118.249
3/1/85,115.23025
4/1/85,108.523
5/1/85,109.38775
6/1/85,109.493
7/1/85,117.45975
8/1/85,119.03325
9/1/85,106.87225
10/1/85,109.9425
11/1/85,109.13575
12/1/85,128.3585
1/1/86,130.549
2/1/86,115.0675
3/1/86,117.77425
4/1/86,106.6225
5/1/86,108.91125
6/1/86,112.25375
7/1/86,122.80375
8/1/86,117.646
9/1/86,107.6475
10/1/86,109.097
11/1/86,109.57575
12/1/86,123.585
1/1/87,130.13425
2/1/87,115.618
3/1/87,117.1315
4/1/87,111.1135
5/1/87,112.56825
6/1/87,118.68425
7/1/87,128.02775
8/1/87,126.42425
9/1/87,113.3885
10/1/87,115.357
11/1/87,114.3065
12/1/87,129.424
1/1/88,137.714
2/1/88,127.62275
3/1/88,126.9425
4/1/88,113.53325
5/1/88,114.102
6/1/88,121.27925
7/1/88,128.85725
8/1/88,134.88075
9/1/88,116.5025
10/1/88,119.724
11/1/88,120.7155
12/1/88,135.8225
1/1/89,135.337
2/1/89,129.28625
3/1/89,133.261
4/1/89,118.861
5/1/89,119.4345
6/1/89,123.3105
7/1/89,128.16475
8/1/89,130.4675
9/1/89,119.48275
10/1/89,122.143
11/1/89,123.59025
12/1/89,147.5525
1/1/90,135.622
2/1/90,120.32
3/1/90,127.24875
4/1/90,119.85525
5/1/90,120.881
6/1/90,125.48425
7/1/90,131.58825
8/1/90,135.86625
9/1/90,123.1055
10/1/90,124.666
11/1/90,120.52425
12/1/90,133.0325
1/1/91,139.68825
2/1/91,118.2775
3/1/91,123.60125
4/1/91,115.0965
5/1/91,119.81125
6/1/91,122.39075
7/1/91,131.5015
8/1/91,132.27325
9/1/91,121.28575
10/1/91,123.35625
11/1/91,125.356
12/1/91,133.57475
1/1/92,138.107
2/1/92,124.8615
3/1/92,130.292
4/1/92,121.9685
5/1/92,120.91675
6/1/92,122.14125
7/1/92,134.87625
8/1/92,130.2985
9/1/92,123.18075
10/1/92,124.38525
11/1/92,124.52225
12/1/92,139.11675
1/1/93,135.8285
2/1/93,128.16625
3/1/93,136.786
4/1/93,120.74475
5/1/93,117.58775
6/1/93,125.83775
7/1/93,139.584
8/1/93,139.848
9/1/93,126.2065
10/1/93,127.19
11/1/93,130.3915
12/1/93,142.46575
1/1/94,150.457
2/1/94,133.92725
3/1/94,133.49225
4/1/94,123.2315
5/1/94,123.95925
6/1/94,134.30275
7/1/94,138.1805
8/1/94,139.479
9/1/94,125.90125
10/1/94,126.833
11/1/94,124.6475
12/1/94,138.2175
1/1/95,140.99225
2/1/95,130.09675
3/1/95,132.991
4/1/95,121.936
5/1/95,125.53675
6/1/95,130.5975
7/1/95,141.86875
8/1/95,149.739
9/1/95,130.1085
10/1/95,127.61375
11/1/95,131.567
12/1/95,144.734
1/1/96,150.80975
2/1/96,138.70375
3/1/96,139.58275
4/1/96,126.609
5/1/96,131.64625
6/1/96,135.3935
7/1/96,144.42375
8/1/96,146.30375
9/1/96,131.47775
10/1/96,136.80775
11/1/96,138.08175
12/1/96,146.7315
1/1/97,152.7355
2/1/97,132.847
3/1/97,137.366
4/1/97,130.7575
5/1/97,131.95325
6/1/97,135.98275
7/1/97,152.0035
8/1/97,147.7975
9/1/97,137.89025
10/1/97,140.25725
11/1/97,138.22975
12/1/97,152.68475
1/1/98,150.20725
2/1/98,132.56925
3/1/98,142.27475
4/1/98,132.52925
5/1/98,137.8045
6/1/98,145.55575
7/1/98,157.713
8/1/98,157.5025
9/1/98,143.28575
10/1/98,138.14075
11/1/98,133.17375
12/1/98,148.839
1/1/99,155.02975
2/1/99,134.47625
3/1/99,145.72875
4/1/99,136.48425
5/1/99,137.40575
6/1/99,143.61475
7/1/99,159.2425
8/1/99,158.10075
9/1/99,140.35575
10/1/99,139.875
11/1/99,134.505
12/1/99,150.48375
1/1/00,158.61175
2/1/00,146.79775
3/1/00,145.16325
4/1/00,133.95975
5/1/00,144.84275
6/1/00,149.29575
7/1/00,155.25025
8/1/00,162.54475
9/1/00,144.9675
10/1/00,143.8485
11/1/00,143.3275
12/1/00,164.82425
1/1/01,164.89475
2/1/01,142.65175
3/1/01,150.286
4/1/01,136.8655
5/1/01,140.5745
6/1/01,142.99675
7/1/01,156.14175
8/1/01,160.231
9/1/01,138.30175
10/1/01,139.97975
11/1/01,135.024
12/1/01,146.9445
1/1/02,153.9605
2/1/02,136.4355
3/1/02,146.975
4/1/02,137.355
5/1/02,140.05775
6/1/02,146.026
7/1/02,160.36825
8/1/02,159.43225
9/1/02,144.97925
10/1/02,143.409
11/1/02,143.7005
12/1/02,157.09775
1/1/03,164.45375
2/1/03,148.659
3/1/03,148.782
4/1/03,136.5855
5/1/03,138.42425
6/1/03,142.767
7/1/03,158.01125
8/1/03,161.82725
9/1/03,143.80475
10/1/03,144.15175
11/1/03,143.318
12/1/03,160.5915
1/1/04,166.37
2/1/04,153.48625
3/1/04,148.9575
4/1/04,138.49875
5/1/04,146.25075
6/1/04,148.82525
7/1/04,159.527
8/1/04,158.08875
9/1/04,146.67275
10/1/04,145.65325
11/1/04,146.39625
12/1/04,163.29525
1/1/05,164.948
2/1/05,146.1575
3/1/05,154.904
4/1/05,137.944
5/1/05,143.241
6/1/05,153.15425
7/1/05,164.65975
8/1/05,167.171
9/1/05,149.84675
10/1/05,145.91225
11/1/05,144.30175
12/1/05,165.554
1/1/06,155.0615
2/1/06,144.22975
3/1/06,151.694
4/1/06,136.13575
5/1/06,143.1685
6/1/06,150.66575
7/1/06,165.25725
8/1/06,167.81075
9/1/06,145.30075
10/1/06,148.33925
11/1/06,144.7285
12/1/06,158.318
1/1/07,162.385
2/1/07,154.1475
3/1/07,150.5215
4/1/07,140.50125
5/1/07,145.03325
6/1/07,151.4845
7/1/07,161.56225
8/1/07,170.08275
9/1/07,150.40025
10/1/07,147.39575
11/1/07,145.15725
12/1/07,161.6695
1/1/08,165.73825
2/1/08,151.38475
3/1/08,150.01325
4/1/08,138.71625
5/1/08,140.542
6/1/08,147.74925
7/1/08,158.495
8/1/08,155.33575
9/1/08,138.01325
10/1/08,140.52875
11/1/08,139.2765
12/1/08,154.14675
1/1/09,157.67325
2/1/09,134.1115
3/1/09,135.32275
4/1/09,124.04825
5/1/09,125.1535
6/1/09,133.52725
7/1/09,141.831
8/1/09,145.9225
9/1/09,129.68225
10/1/09,131.0095
11/1/09,128.23575
12/1/09,151.922
1/1/10,156.8235
2/1/10,139.81575
3/1/10,139.32025
4/1/10,125.42425
5/1/10,133.31725
6/1/10,144.52275
7/1/10,156.3285
8/1/10,157.99475
9/1/10,138.0825
10/1/10,129.15275
11/1/10,132.09625
12/1/10,156.89275
1/1/11,157.294
2/1/11,133.68
3/1/11,136.3175
4/1/11,125.23275
5/1/11,130.01725
6/1/11,140.0855
7/1/11,153.89925
8/1/11,153.74275
9/1/11,133.2115
10/1/11,127.628
11/1/11,127.72175
12/1/11,139.79475
1/1/12,139.5175
2/1/12,128.42225
3/1/12,122.71625
4/1/12,115.29925
5/1/12,126.18525
6/1/12,133.267
7/1/12,150.38625
8/1/12,147.1
9/1/12,127.63275
10/1/12,126.98175
11/1/12,130.22875
12/1/12,137.11975
1/1/13,144.43875
2/1/13,128.7335
3/1/13,135.95025
4/1/13,120.89275
5/1/13,124.63075
6/1/13,132.17575
7/1/13,145.4675
8/1/13,143.8345
9/1/13,131.553
10/1/13,127.31975
11/1/13,130.574
12/1/13,146.9285
1/1/14,156.7795
2/1/14,139.00675
3/1/14,137.366
4/1/14,120.2105
5/1/14,125.0825
6/1/14,132.19525
7/1/14,143.59975
8/1/14,144.10725
9/1/14,129.85775
10/1/14,126.37375
11/1/14,130.16125
12/1/14,138.58375
1/1/15,146.04275
2/1/15,136.1255
3/1/15,131.062
4/1/15,114.4875
5/1/15,121.91075
6/1/15,133.08875
7/1/15,145.426
8/1/15,142.07775
9/1/15,128.671
10/1/15,120.4975
11/1/15,116.574
12/1/15,124.7745
1/1/16,138.212
2/1/16,122.85575
3/1/16,115.36175
4/1/16,108.90675
5/1/16,114.04475
6/1/16,130.57525
7/1/16,144.6505
8/1/16,146.2865
9/1/16,128.02575
10/1/16,120.5245
11/1/16,116.018
12/1/16,138.9375
1/1/17,136.3305
2/1/17,112.1355
3/1/17,122.632
4/1/17,109.996
5/1/17,118.3645
6/1/17,125.73925
7/1/17,140.61775
8/1/17,136.78325
9/1/17,121.178
