,Month,Sector,Coal_CO2Emissions,NaturalGas_CO2Emissions,Distillate_FuelOil_CO2Emissions,HGL_CO2Emissions,Petroleum_CO2Emissions,Residual_fuelOil_CO2Emissions,Share_OfElectricPower_CO2Emissions,Other_CO2Emissions,Total_CO2Emissions
0,1973-01-01,industrial,33.352999999999994,42.37,9.606,3.241,55.795,12.202,42.649,3.7969999999999997,160.692
1,1973-02-01,industrial,30.82,36.54,10.426,2.486,52.58800000000001,13.099,38.783,3.46,147.171
2,1973-03-01,industrial,31.397,38.261,9.487,1.764,55.297,15.176,40.381,3.008,152.403
3,1973-04-01,industrial,31.046,42.224,6.775,1.77,47.074,11.269,39.717,2.7039999999999997,147.782
4,1973-05-01,industrial,31.322,44.564,8.962,2.448,52.714,12.156,42.427,2.8200000000000003,157.863
5,1973-06-01,industrial,29.978,40.166,7.467,2.573,50.298,10.552,44.829,2.617,151.726
6,1973-07-01,industrial,29.307000000000002,43.09,7.869,2.53,48.769999999999996,7.951,45.286,2.954,152.72
7,1973-08-01,industrial,28.864,45.029,8.367,3.327,53.098,10.404,46.769,2.982,159.751
8,1973-09-01,industrial,28.041999999999998,44.882,9.029,3.132,50.185,10.137,41.902,2.838,152.488
9,1973-10-01,industrial,31.24,51.809,8.78,3.43,51.915,9.403,45.256,3.045,166.591
10,1973-11-01,industrial,32.065,51.227,10.704,3.106,55.965,14.248,43.818,3.4690000000000003,170.858
11,1973-12-01,industrial,35.126000000000005,52.466,9.939,1.464,52.547000000000004,12.737,42.977,3.121,170.473
12,1974-01-01,industrial,33.516999999999996,37.582,10.446,2.63,54.373,13.083,40.657,3.292,153.67
13,1974-02-01,industrial,31.378,40.007,9.183,1.583,48.268,12.061,37.669,2.863,146.034
14,1974-03-01,industrial,31.806,41.219,8.445,1.758,49.041,11.583,40.22,2.7350000000000003,150.026
15,1974-04-01,industrial,31.500999999999998,34.261,7.783,2.292,48.087,11.337,38.991,2.495,140.75
16,1974-05-01,industrial,30.738999999999997,40.356,7.434,2.404,45.784000000000006,9.552,43.624,2.423,148.518
17,1974-06-01,industrial,29.102,36.881,7.285,2.905,48.163000000000004,10.246,42.232,2.4530000000000003,143.741
18,1974-07-01,industrial,28.91,41.21,7.132,3.103,49.42700000000001,9.453,45.633,2.681,151.651
19,1974-08-01,industrial,29.817,43.572,7.505,3.281,50.511,10.034,44.261,2.715,154.673
20,1974-09-01,industrial,29.379,47.948,6.113,3.515,47.101,9.357,39.813,2.5359999999999996,151.452
21,1974-10-01,industrial,31.568,51.158,8.277,3.307,50.069,10.758,44.262,2.931,164.658
22,1974-11-01,industrial,27.796,51.016,8.781,2.787,50.736999999999995,11.917,43.184,2.755,160.483
23,1974-12-01,industrial,27.32,47.707,10.063,2.514,51.166000000000004,10.253,41.479,3.0549999999999997,155.033
24,1975-01-01,industrial,31.061999999999998,45.925,12.213,2.739,56.536,13.357,41.77,2.7800000000000002,162.569
25,1975-02-01,industrial,31.089000000000002,32.127,9.816,1.552,45.691,9.787,37.462,2.529,135.365
26,1975-03-01,industrial,32.412,33.732,10.514,1.657,49.734,11.962,38.665,2.418,142.952
27,1975-04-01,industrial,30.192,22.362,9.786,1.707,44.968,8.151,37.204,2.45,123.29
28,1975-05-01,industrial,28.764,26.894,7.233,1.861,43.291,8.397,39.802,2.308,127.006
29,1975-06-01,industrial,26.272,30.748,6.269,2.043,42.515,7.828,41.603,2.474,129.188
30,1975-07-01,industrial,25.033,33.333,6.415,3.095,47.428,7.905,42.384,2.346,134.346
31,1975-08-01,industrial,25.315,37.656,6.123,3.364,44.016999999999996,5.859,44.16,2.425,138.025
32,1975-09-01,industrial,25.407,39.361,4.63,3.145,44.888000000000005,9.574,38.412,2.37,135.485
33,1975-10-01,industrial,26.545,45.299,8.405,3.178,49.675,9.178,42.43,2.587,150.786
34,1975-11-01,industrial,27.825,44.685,6.057,2.369,45.31999999999999,9.674,41.989,2.322,147.369
35,1975-12-01,industrial,29.363999999999997,45.357,10.465,3.017,54.513999999999996,11.524,43.823,3.1390000000000002,159.874
36,1976-01-01,industrial,28.038,40.376,12.574,3.015,55.944,10.607,43.771,2.928,154.72
37,1976-02-01,industrial,26.496,30.374,9.367,1.99,51.259,12.495,39.753,2.435,135.397
38,1976-03-01,industrial,28.173000000000002,30.645,9.99,1.394,52.159000000000006,11.793,44.735,2.5569999999999995,142.499
39,1976-04-01,industrial,28.048,30.026,8.792,1.676,48.308,10.19,43.385,2.3920000000000003,137.139
